co,no2,nox,pm10,pm25,relativehumidity,temperature
2.15,105.8,0.1679,211.0,111.0,92.0,10.9
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
2.23,170.7,0.0988,260.0,117.0,66.0,12.3
2.11,103.2,0.063,145.0,35.0,88.0,12.0
2.05,164.3,0.0965999999999999,260.0,118.0,79.0,9.6
1.91,109.2,0.0663,169.0,68.0,94.0,10.8
2.37,83.3,0.0517,140.0,47.0,87.0,11.4
0.66,55.1,0.0535,179.0,97.0,93.0,9.3
2.39,139.7,0.0814,301.0,118.0,65.0,14.4
2.34,170.7,0.226,278.0,139.0,95.0,8.9
3.88,145.3,0.2301,357.0,224.0,91.0,8.2
2.23,137.4,0.0797,151.0,84.0,84.0,12.5
2.15,114.5,0.0678,161.0,77.0,72.0,14.3
0.97,99.8,0.0515,244.0,91.0,58.0,14.2
1.88,144.4,0.09,321.0,149.0,59.0,14.5
1.65,145.5,0.0932,251.0,135.0,90.0,12.6
3.65,1.1,0.0042,117.0,24.0,89.0,13.4
2.27,197.2,0.11,366.0,160.0,64.0,12.2
4.18,88.2,0.0506,339.0,229.0,88.0,13.3
2.55,115.8,0.0711,153.0,79.0,79.0,12.9
2.2,131.2,0.0775,171.0,74.0,74.0,13.7
3.21,4.1,0.0038,66.0,26.0,71.0,14.3
1.69,128.8,0.0764,215.0,101.0,93.0,11.8
2.11,128.6,0.0767,211.0,110.0,73.0,14.3
3.58,81.0,0.0525,334.0,239.0,85.0,13.6
3.29,54.3,0.0322,56.0,109.6,90.0,12.9
3.31,95.5,0.1394,259.0,138.0,90.0,9.0
4.21,103.2,0.0595,293.0,147.0,80.0,13.9
3.89,95.5,0.1599,433.0,273.0,89.0,10.1
1.04,56.6,0.0327,166.0,83.0,62.0,12.3
2.23,106.0,0.0619,123.0,72.0,70.0,14.3
1.98,102.6,0.1431,237.0,124.0,94.0,7.8
3.6,129.0,0.114,285.0,158.0,92.0,11.7
1.71,129.2,0.077,143.0,77.0,93.0,11.8
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
1.52,136.9,0.0831,267.0,118.0,91.0,11.4
2.06,238.0,0.1353,317.0,168.0,66.0,12.1
1.39,129.9,0.0789,224.0,106.0,92.0,11.4
2.06,240.3,0.1324,401.0,249.0,65.0,12.4
2.51,116.6,0.0692,215.0,78.0,70.0,13.9
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
3.03,142.3,0.0919,245.0,128.0,89.0,11.7
4.08,79.7,0.0471,255.0,128.0,89.0,13.2
